abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"RIOMILCO","=""11/13/1985 00:00""","799","cfs","","","=""11/13/1985 23:45""",
"RIOMILCO","=""11/14/1985 00:00""","818","cfs","","*","=""11/14/1985 23:45""",
"RIOMILCO","=""11/15/1985 00:00""","828","cfs","","","=""11/15/1985 23:45""",
"RIOMILCO","=""11/16/1985 00:00""","820","cfs","","*","=""11/16/1985 23:45""",
"RIOMILCO","=""11/17/1985 00:00""","775","cfs","","","=""11/17/1985 23:45""",
"RIOMILCO","=""11/18/1985 00:00""","624","cfs","","","=""11/18/1985 23:45""",
"RIOMILCO","=""11/19/1985 00:00""","297","cfs","","*","=""11/19/1985 23:45""",
"RIOMILCO","=""11/20/1985 00:00""","6.5","cfs","","*","=""11/20/1985 09:00""",
"RIOMILCO","=""11/21/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/22/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/23/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/24/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/25/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/26/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/27/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/28/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/29/1985 00:00""","","cfs","","","",
"RIOMILCO","=""11/30/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/01/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/02/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/03/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/04/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/05/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/06/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/07/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/08/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/09/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/10/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/11/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/12/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/13/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/14/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/15/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/16/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/17/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/18/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/19/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/20/1985 00:00""","","cfs","","","",
